Date,N,S,delta
1993-01,-0.23133030161261559,-0.1937925349920988,-0.03753776662051678
1993-02,-0.23926511406898499,-0.19531846046447754,-0.043946653604507446
1993-03,-0.295724356546998,-0.27222510427236557,-0.023499252274632454
1993-04,-0.19653920084238052,-0.1977599412202835,0.0012207403779029846
1993-05,-0.17273476347327232,-0.11230811476707458,-0.06042664870619774
1993-06,-0.16144291497766972,-0.13275551609694958,-0.02868739888072014
1993-07,-0.16296884045004845,-0.14831995591521263,-0.014648884534835815
1993-08,-0.11444441042840481,-0.11444441042840481,0.0
1993-09,-0.05462813191115856,-0.10956144891679287,0.05493331700563431
1993-10,-0.04699850454926491,-0.024109622463583946,-0.02288888208568096
1993-11,-0.05798516795039177,-0.07812738418579102,0.020142216235399246
1993-12,-0.17426068894565105,-0.1150547806173563,-0.059205908328294754
1994-01,-0.28260139748454094,-0.2374340035021305,-0.04516739398241043
1994-02,-0.26673177257180214,-0.2346873376518488,-0.032044434919953346
1994-03,-0.2725302893668413,-0.23621326312422752,-0.03631702624261379
1994-04,-0.2142399363219738,-0.2017273474484682,-0.012512588873505592
1994-05,-0.21912289783358574,-0.19592883065342903,-0.023194067180156708
1994-06,-0.20783104933798313,-0.19592883065342903,-0.0119022186845541
1994-07,-0.16052735969424248,-0.18555253744125366,0.025025177747011185
1994-08,-0.10223700664937496,-0.16754661686718464,0.06530961021780968
1994-09,-0.08178960531949997,-0.11291848495602608,0.031128879636526108
1994-10,-0.07873775437474251,-0.07232886739075184,-0.006408886983990669
1994-11,-0.15167699195444584,-0.10864589363336563,-0.04303109832108021
1994-12,-0.19318216480314732,-0.10162663646042347,-0.09155552834272385
1995-01,-0.26154362596571445,-0.21607104688882828,-0.04547257907688618
1995-02,-0.3360087890177965,-0.3021332435309887,-0.03387554548680782
1995-03,-0.158696249127388,-0.20325327292084694,0.04455702379345894
1995-04,-0.14831995591521263,-0.19318216480314732,0.044862208887934685
1995-05,-0.17792291007936,-0.16022217459976673,-0.017700735479593277
1995-06,-0.19348734989762306,-0.18280587159097195,-0.010681478306651115
1995-07,-0.1699880976229906,-0.139469588175416,-0.030518509447574615
1995-08,-0.03631702624261379,-0.04516739398241043,0.008850367739796638
1995-09,-0.0048829615116119385,-0.005493331700563431,0.0006103701889514923
1995-10,-0.09033478796482086,-0.05645924247801304,-0.03387554548680782
1995-11,-0.15655995346605778,-0.119022186845541,-0.03753776662051678
1995-12,-0.20844141952693462,-0.15961180441081524,-0.048829615116119385
1996-01,-0.22309030406177044,-0.2023377176374197,-0.02075258642435074
1996-02,-0.22766808047890663,-0.2591021452099085,0.031434064731001854
1996-03,-0.24842066690325737,-0.25696584954857826,0.008545182645320892
