latitude,longitude
28.63679805,-85.9774944
28.58840658,-85.9427816
28.54547733,-85.90821199
28.51088365,-85.86153742
28.46812787,-85.81784362
28.4416835,-85.77138007
28.39112619,-85.70617764
28.36489113,-85.64444788
28.33323488,-85.58267078
28.29623837,-85.5147209
28.25096566,-85.45897382
28.21657507,-85.3972486
28.1768352,-85.32935073
28.12903611,-85.2552568
28.07316761,-85.17497176
28.01968353,-85.12234174
27.96359787,-85.05742963
27.89662062,-84.99857735
27.82390624,-84.97651265
27.74048982,-84.94208282
27.64342436,-84.92591828
27.56532257,-84.89763635
27.45738863,-84.88436393
27.36025813,-84.86196093
27.26571762,-84.84872113
27.17109181,-84.83848801
27.06284801,-84.82497843
26.99056225,-84.8149112
26.91212057,-84.79905532
26.85661306,-84.80406474
26.79300314,-84.78960541
26.7343715,-84.78078181
26.6732815,-84.76774143
26.61345827,-84.75191355
26.54485507,-84.74160561
26.49373131,-84.72863258
26.42011479,-84.71268081
26.36142891,-84.70102823
26.3227037,-84.69232669
26.27217288,-84.68637721
26.22100241,-84.67074969
26.17359128,-84.65653985
26.12617506,-84.64511803
26.08623855,-84.63791762
26.04264517,-84.61536773
25.98649686,-84.60388497
25.95531284,-84.59533555
25.91288933,-84.585319
25.87046962,-84.57251222
25.82681491,-84.55273093
25.77313998,-84.53148006
25.73066908,-84.51586497
25.69067127,-84.50165055
25.65438729,-84.49441569
25.6131119,-84.47807518
25.5743632,-84.46540567
25.54189583,-84.45139691
25.49067434,-84.44145738
25.45324261,-84.42744835
25.41208859,-84.41066966
25.365975,-84.38835768
25.33608844,-84.36889416
25.30244462,-84.35356625
25.26378241,-84.34650571
25.22266601,-84.32840107
25.18905235,-84.30481711
25.15791582,-84.28538784
25.11677749,-84.27006273
25.06443389,-84.2395342
25.01330231,-84.21315188
24.97338397,-84.1868131
24.9150264,-84.14611784
24.88948754,-84.12541389
24.86790635,-84.10791639
24.85175385,-84.09851615
24.83521776,-84.07266642
24.81762932,-84.05130756
24.80275031,-84.03771699
24.78657758,-84.02311245
24.7757966,-84.01008251
24.76702869,-83.98982715
24.76572783,-83.98238103
24.76145328,-83.97321336
24.75402595,-83.96785932
24.74135218,-83.93479932
24.73188172,-83.9148762
24.72089259,-83.89583009
24.70876562,-83.88635771
24.7055275,-83.87771377
24.70151374,-83.86809527
24.69556477,-83.85432685
24.690526,-83.83914159
24.68606407,-83.82727963
24.67264756,-83.80666032
24.67151118,-83.79030786
24.66312734,-83.77590112
24.65766891,-83.76062928
24.64799898,-83.74256488
24.63317015,-83.72081061
24.62298279,-83.70109499
24.60687295,-83.67021793
24.5976251,-83.64220359
24.56398002,-83.62792027
24.54494815,-83.60127561
24.52256336,-83.5622687
24.50640879,-83.5226723
24.49025957,-83.4882
24.47060245,-83.44805076
24.45729552,-83.41881655
24.43960537,-83.38197797
24.42033759,-83.33564979
24.39752789,-83.29359698
24.38987916,-83.26381655
24.37297732,-83.23581148
24.36418831,-83.20305917
24.36061508,-83.18079777
24.35567451,-83.1622186
24.34655017,-83.14170756
24.3390294,-83.12096934
24.33795817,-83.10462928
24.332415,-83.06618899
24.32766633,-83.02879796
24.32029251,-82.99972103
24.32085385,-82.98100133
24.32045779,-82.9557535
24.31792616,-82.94259555
24.31100268,-82.92472899
24.3102211,-82.90170505
24.30700238,-82.8822256
24.30404829,-82.8485894
24.29622407,-82.80614794
24.28547585,-82.76395467
24.28815404,-82.72263326
24.28382512,-82.64810597
24.28118899,-82.6130494
24.28524132,-82.56137986
24.28458777,-82.52627044
24.28809322,-82.49984217
24.29455391,-82.47114229
24.2930093,-82.44262165
24.29548234,-82.41509747
24.30186793,-82.38307329
24.30105138,-82.34131293
24.29235308,-82.30359702
24.29177932,-82.27773195
24.2892177,-82.24955712
24.2887913,-82.2287124
24.28948338,-82.20338863
24.28113637,-82.15541859
24.28160559,-82.1265273
24.28107619,-82.09658277
24.27742479,-82.05599858
24.27883163,-82.02599648
24.27925835,-81.99600694
24.27852553,-81.95639189
24.27696914,-81.92535156
24.28267898,-81.91173247
24.28042172,-81.89434704
24.28027371,-81.87693692
24.27170069,-81.85362715
24.27620543,-81.83420407
24.26913897,-81.81200406
24.25468432,-81.80080076
24.2494977,-81.7892198
24.24655314,-81.76783372
24.25002343,-81.74095932
24.25435,-81.72840414
24.24852255,-81.69876057
24.25323825,-81.60755239
24.25230072,-81.56736137
24.2491184,-81.52227644
24.25006082,-81.48475583
24.24715271,-81.44987118
24.24826426,-81.4234292
24.25095386,-81.3986582
24.24836224,-81.38336942
24.25355193,-81.36877194
24.26483757,-81.34722483
24.26908471,-81.32326121
24.29372053,-81.29404807
24.29761274,-81.26927026
24.29740469,-81.25202206
24.30124011,-81.22662379
24.29722687,-81.19912284
24.29853922,-81.179005
24.31124416,-81.14951587
24.31339585,-81.11386693
24.31151472,-81.09034151
24.31445715,-81.03626371
24.31674848,-81.01207139
24.33508591,-80.97377072
24.342442,-80.95819831
24.35401259,-80.92579969
24.36579222,-80.90106299
24.36871492,-80.85763685
24.37667498,-80.83091932
24.39034508,-80.8007886
24.40679646,-80.78151661
24.41852918,-80.76175169
24.43018971,-80.73738136
24.44644336,-80.70543287
24.46648171,-80.6698163
24.47182257,-80.64440618
24.47667326,-80.62130164
24.49361554,-80.60140349
24.514189,-80.57969664
24.52438178,-80.5633707
24.54139701,-80.54805077
24.55560786,-80.52183291
24.56573944,-80.50202508
24.59845242,-80.46026751
24.64355379,-80.40388528
24.67755703,-80.34977278
24.74108436,-80.28862654
24.79938415,-80.24186493
24.8830921,-80.16959758
24.94562479,-80.14303739
25.02985197,-80.08894155
25.09627496,-80.06619622
25.14777109,-80.03973937
25.21248171,-80.0410406
